№,district,khoroo,number,zip code,Хаяг нэгтгэсэн,office_name,Бүтээц,floor,op_date,Гудамжны нэр,Координат,Үнэлгээ
58.0,СБД,6,9А,14201.0,,Gem castle,Төмөр бетон арагт,16.0,2024,Сүхбаатарын гудамж,"47.925730, 106.915389",10.633333333333333
59.0,СБД,6,20,14201.0,,Mogul tower,Цутгамал,16.0,2022,Бага тойруу,"47.925887, 106.917234",
60.0,СБД,6,32/1,14193.0,,AB center,Төмөр бетон арагт,12.0,2012,Их сургуулийн гудамж,"47.927360, 106.917835",
61.0,СБД,8,8/1,14200.0,,City tower,Төмөр бетон арагт,24.0,2015,Сөүлийн гудамж,"47.919324, 106.920782",8.199
62.0,СБД,8,5,14200.0,,City center,Төмөр бетон арагт,12.0,2011,Сөүлийн гудамж,"47.919058, 106.920582",8.5
63.0,СБД,8,2,14200.0,,Central tower,Төмөр бетон арагт,16.0,2009,Д.Сүхбаатарын талбай,"47.918066, 106.920119",
64.0,СБД,8,15,,,Tuushin office,Төмөр бетон арагт,5.0,1996,Ерөнхий сайд Амарын гудамж,"47.920285, 106.920592",
65.0,СБД,8,,,,Макадам,Төмөр бетон арагт,10.0,0,0,"47.920590, 106.921583",
66.0,СБД,8,25,,,Ник албан контор,Төмөр бетон арагт,4.0,1960,Ерөнхий сайд Амарын гудамж,"47.920472, 106.922574",
67.0,СБД,8,4,,,,Төмөр бетон арагт,4.0,,Ерөнхий сайд Амарын гудамж,"47.920883, 106.922291",
68.0,СБД,8,26/1,14200.0,,Адмон принт,Төмөр бетон арагт,3.0,2002,Бага тойруу,"47.920899, 106.921268",
69.0,СБД,8,32,14200.0,,Blue mon,Төмөр бетон арагт,12.0,2011,Ж.Самбуугийн гудамж,"47.922122, 106.921753",
70.0,СБД,8,29,,,Сан бизнес центр,Төмөр бетон арагт,9.0,2008,Ерөнхий сайд Амарын гудамж,"47.920032, 106.922111",
71.0,СБД,8,2,14191.0,,Sonor plaza,Төмөр бетон арагт,9.0,2009,Оюутны гудамж,"47.918420, 106.927036",
72.0,СБД,8,44,14191.0,,Боловсрол төв,Төмөр бетон арагт,5.0,2007,Оюутны гудамж,"47.920032, 106.922111",
73.0,СБД,8,37,14191.0,,GB plaza,Төмөр бетон арагт,9.0,2014,Бээжингийн гудамж,"47.922841, 106.930455",
74.0,СБД,8,39/2,14192.0,,Velox office,Төмөр бетон арагт,7.0,2017,Бага тойруу,"47.925945, 106.922733",5.8100000000000005
,СБД,8,39/1,14192.0,,Velox office,Төмөр бетон арагт,7.0,2017,Бага тойруу,"47.925945, 106.922733",5.8100000000000005
75.0,СБД,8,36/2,14192.0,,,Төмөр бетон арагт,7.0,2010,Бага тойруу,"47.925724, 106.922638",
76.0,СБД,8,43/1,14193.0,,N tower,Төмөр бетон арагт,12.0,2017,Н.Содномын гудамж,"47.928585, 106.921174",9.265833333333333
77.0,СБД,8,41,14193.0,,Өдрийн мэдээ,Төмөр бетон арагт,5.0,2007,Н.Содномын гудамж,"47.928778, 106.921157",
77.0,СБД,8,41/1,14191.0,,River Castle Business Apartment,Төмөр бетон арагт,25.0,2025,Архитектор Б.Чимэдийн гудамж,"47.921875, 106.930755",5.662727272727273
78.0,СБД,9,54,14182.0,,Компьютер центр,Төмөр бетон арагт,14.0,2017,Их тойруу,"47.928956, 106.910680",
79.0,СБД,9,281,,,Хоймор оффис,Төмөр бетон арагт,16.0,2017,Алтайн гудамж,"47.932304, 106.913303",4.013333333333333
80.0,СБД,9,34,,,MGLRADIO 88.3,Төмөр бетон арагт,9.0,2012,Алтайн гудамж,"47.931202, 106.913372",
81.0,СБД,9,234,,,CITIUS  оффис,Төмөр бетон арагт,9.0,2021,Ногоон нуурын гудамж,"47.931641, 106.916481",
82.0,СБД,9,226а,14181.0,,NBB center,Төмөр бетон арагт,3.0,2021,Ногоон нуурын гудамж,"47.931024, 106.916411",
83.0,СБД,9,78/1,14181.0,,Star center,Төмөр бетон арагт,3.0,2013,Их тойруу,"47.929241, 106.915814",
84.0,СБД,10,28,14181.0,,Viva center,Төмөр бетон арагт,3.0,0,Их тойруу,"47.930933, 106.918818",
85.0,СБД,10,60,14181.0,,CT BAT center,Төмөр бетон арагт,6.0,2007,Их тойруу,"47.930147, 106.926220",
86.0,СБД,10,104/1,14181.0,,Арвай тех төв,Төмөр бетон арагт,5.0,2002,Их тойруу,"47.930337, 106.925372",
87.0,СБД,10,23/1,14181.0,,100 айл АМО төв,Төмөр бетон арагт,5.0,2018,Цагдаагийн гудамж,"47.932845, 106.926976",
88.0,СБД,11,,,,Хулан төв,Төмөр бетон арагт,7.0,2022,,"47.933020, 106.927992",
89.0,СБД,11,306,14180.0,,,Төмөр бетон арагт,6.0,2021,Элистейн гудамж,"47.933989, 106.922877",
90.0,СБД,11,101,14180.0,,Pro One serviced office center,Төмөр бетон арагт,16.0,2016,Ногоон нуурын гудамж,"47.932337, 106.916990",4.7625
91.0,ЧД,1,5/1,15160.0,,BODI TOWER,Төмөр бетон арагт,13.0,2003,Ц.Жигжиджавын гудамж,"47.918127, 106.915589",
92.0,ЧД,1,7/1,15160.0,,Khangarid Palace,Төмөр бетон арагт,15.0,2009,Ц.Жигжиджавын гудамж,"47.918800, 106.915535",
93.0,ЧД,1,9/1,15160.0,,,Төмөр бетон арагт,15.0,2016,Ц.Жигжиджавын гудамж,"47.919665, 106.915385",
94.0,ЧД,1,4,,,Express tower,Төмөр бетон арагт,15.0,2009,Энх тайвaны өргөн чөлөө,"47.917409, 106.914926",7.022222222222222
95.0,ЧД,1,8,15160.0,,Finance Center,Төмөр бетон арагт,10.0,2007,Ц.Жигжиджавын гудамж,"47.918581, 106.914680",
96.0,ЧД,1,4/3,15160.0,,Рааш булаг төв,Төмөр бетон арагт,4.0,2000,Ц.Жигжиджавын гудамж,"47.918343, 106.914479",
97.0,ЧД,1,7/2,0.0,,Дэнвер оффис,Төмөр бетон арагт,5.0,2005,Энх тайвaны өргөн чөлөө,"47.917212, 106.909528",
98.0,ЧД,1,,0.0,,Arizona оффис,Төмөр бетон арагт,7.0,,,"47.917809, 106.908969",
99.0,ЧД,1,17/1,15170.0,,0,Төмөр бетон арагт,1.0,2018,Ноён хутагт Данзанравжаагийн гудамж,"47.917984, 106.908959",
100.0,ЧД,1,17,15170.0,,0,Төмөр бетон арагт,9.0,2011,Бага тойруу,"47.918004, 106.909276",
101.0,ЧД,2,29/1,0.0,,Canon center,Төмөр бетон арагт,8.0,2006,Энх тайвaны өргөн чөлөө,"47.916249, 106.899641",
102.0,ЧД,2,22А,15172.0,,Travel house,Төмөр бетон арагт,5.0,2007,Жуулчны гудамж,"47.918757, 106.900476",
103.0,ЧД,2,25,15171.0,,Бэриш центр,Төмөр бетон арагт,7.0,2014,Жуулчны гудамж,"47.919203, 106.901644",
104.0,ЧД,2,19,15171.0,,Хишиг төв,Төмөр бетон арагт,9.0,2021,Жуулчны гудамж,"47.919290, 106.902297",5.625
105.0,ЧД,2,17/2,15171.0,,NAZO tower,Төмөр бетон арагт,9.0,2020,Жуулчны гудамж,"47.919343, 106.902518",
106.0,ЧД,2,6,15171.0,,Найман шарга,Төмөр бетон арагт,12.0,2011,Төмөрчний гудамж,"47.919836, 106.902634",4.84375
107.0,ЧД,2,8,15171.0,,Их найман шарга,Төмөр бетон арагт,12.0,2013,Төмөрчний гудамж,"47.920067, 106.902533",3.815
108.0,ЧД,2,14,15171.0,,Арга билиг төв,Төмөр бетон арагт,6.0,2014,Төмөрчний гудамж,"47.920362, 106.902690",
109.0,ЧД,2,29/3,15171.0,,Орон зай оффис,Төмөр бетон арагт,10.0,,Төмөрчний гудамж,"47.920403, 106.900095",
110.0,ЧД,3,54,,,Peace tower,Төмөр бетон арагт,17.0,2009,Энх тайвaны өргөн чөлөө,"47.916194, 106.902214",8.846666666666666
111.0,ЧД,3,42,15172.0,,Capital center,Төмөр бетон арагт,14.0,2015,Жуулчны гудамж,"47.918868, 106.902273",
112.0,ЧД,3,34,15172.0,,Pearl tower,Төмөр бетон арагт,12.0,2018,Жуулчны гудамж,"47.919262, 106.905896",8.0
113.0,ЧД,4,4/4,15170.0,,Max tower,Төмөр бетон арагт,13.0,2008,Жуулчны гудамж,"47.920505, 106.910083",
114.0,ЧД,5,5,15141.0,,MN tower,Төмөр бетон арагт,22.0,2017,Тусгаар тогтнолын талбай,"47.922503, 106.905150",7.459999999999999
115.0,ЧД,5,15,15150.0,,Best төв,Төмөр бетон арагт,6.0,2014,Их тойруу,"47.923888, 106.900539",
116.0,ЧД,5,17/1,15150.0,,Yalalt plaza,Төмөр бетон арагт,14.0,2018,Их тойруу,"47.924311, 106.900708",
117.0,ЧД,5,21,15150.0,,Premium place,Төмөр бетон арагт,16.0,2015,Их тойруу,"47.924897, 106.900929",
118.0,ЧД,5,25,15150.0,,Tasgan tower,Төмөр бетон арагт,16.0,,Их тойруу,"47.926061, 106.901482",5.750740740740741
119.0,БЗД,1,26,13380.0,,Сөүл бизнес төв,Төмөр бетон арагт,7.0,2006,Бээжингийн гудамж,"47.923774, 106.934109",
120.0,БЗД,1,65/2,13380.0,,MJ төв,Төмөр бетон арагт,8.0,2022,Их тойруу,"47.927388, 106.939771",
121.0,БЗД,1,8,13380.0,,Palazzo tower,Төмөр бетон арагт,12.0,2009,Токиогийн гудамж,"47.925388, 106.935871",
122.0,БЗД,1,6,13380.0,,Nisora tower төв,Төмөр бетон арагт,9.0,2009,Токиогийн гудамж,"47.924868, 106.935460",
123.0,БЗД,2,86/1,13361.0,,Undram plaza,Төмөр бетон арагт,9.0,2016,Их тойруу,"47.928344, 106.939798",
124.0,БЗД,3,26,13381.0,,Tokyo tower,Төмөр бетон арагт,17.0,2020,Токиогийн гудамж,"47.919492, 106.935543",
125.0,БЗД,3,45A,13381.0,,Гэрэлт цамхаг,Төмөр бетон арагт,5.0,2013,Токиогийн гудамж,"47.920609, 106.935291",
126.0,БЗД,3,32A,,,VIP office,Төмөр бетон арагт,3.0,2017,Энх тайвaны өргөн чөлөө,"47.919754, 106.939331",
127.0,БЗД,4,91,,,Марал оффис,Төмөр бетон арагт,5.0,2019,Энх тайвaны өргөн чөлөө,"47.918738, 106.963120",
128.0,БЗД,7,4/1,,,Old city,Төмөр бетон арагт,9.0,2018,Энх тайвaны өргөн чөлөө,"47.919221, 106.943772",
,БЗД,7,26,13380.0,,Seoul business center,Төмөр бетон арагт,7.0,2006,Бээжингийн гудамж,"47.923790, 106.934140",6.016
129.0,БЗД,15,39,13370.0,,MNMT plaza,Төмөр бетон арагт,10.0,2012,Энх тайвaны өргөн чөлөө,"47.918266, 106.936446",
130.0,БЗД,15,49,,,Суман плаза,Төмөр бетон арагт,7.0,2014,Энх тайвaны өргөн чөлөө,"47.918425, 106.941732",
131.0,БЗД,18,25/3,13370.0,,JP office,Төмөр бетон арагт,7.0,2015,Манлайбаатар Дамдинсүрэнгийн гудамж,"47.912868, 106.940916",
132.0,БЗД,26,202,13312.0,,Sakura center,Төмөр бетон арагт,10.0,2020,Их Монгол улсын гудамж,"47.904043, 106.928989",
133.0,БЗД,26,420/1,13312.0,,Paradise plaza,Төмөр бетон арагт,15.0,2024,Хүннүгийн гудамж,"47.904287, 106.934396",6.643571428571429
134.0,БЗД,26,420/5,13312.0,,Олимп ресидент,Төмөр бетон арагт,12.0,2014,Хүннүгийн гудамж,"47.904578, 106.936625",
135.0,БЗД,26,710,13312.0,,Himchan center,Төмөр бетон арагт,9.0,2022,Нийслэл хүрээ өргөн чөлөө,"47.904525, 106.939961",7.192142857142857
136.0,БЗД,26,365,13312.0,,Royal Plaza,Төмөр бетон арагт,9.0,2015,Нийслэл хүрээ өргөн чөлөө,"47.902434, 106.938676",
137.0,БЗД,32,104/2,13292.0,,,Төмөр бетон арагт,6.0,2015,Б.Доржийн гудамж,"47.924278, 106.966992",
138.0,БЗД,32,106/1,13292.0,,Castle Plaza,Төмөр бетон арагт,5.0,2015,Б.Доржийн гудамж,"47.924382, 106.967537",
139.0,БЗД,36,907,13311.0,,Ikh Mongol Complex,Төмөр бетон арагт,6.0,2015,Хүннүгийн гудамж,"47.905165, 106.942984",
140.0,БЗД,43,83/2,13374.0,,UB tower,Төмөр бетон арагт,16.0,2020,Манлайбаатар Дамдинсүрэнгийн гудамж,"47.912560, 106.931436",7.27
141.0,БЗД,43,83/1,13374.0,,UB tower plus,Төмөр бетон арагт,17.0,2021,Манлайбаатар Дамдинсүрэнгийн гудамж,"47.912222, 106.931709",
142.0,ХУД,1,26,17030.0,,0,Төмөр бетон арагт,14.0,2015,Чингисийн өргөн чөлөө,"47.900874, 106.909249",
143.0,ХУД,1,39,17030.0,,Munkh Tower,Төмөр бетон арагт,12.0,2022,Чингисийн өргөн чөлөө,"47.899437, 106.905965",
144.0,ХУД,3,5,,,Khan Urguu Office,Төмөр бетон арагт,12.0,2021,Энгельсийн гудамж,"47.899861, 106.893642",
145.0,ХУД,3,8,,,Life Tower,Төмөр бетон арагт,15.0,,Энгельсийн гудамж,"47.900751, 106.892750",5.688000000000001
146.0,ХУД,3,10,,,Hyundai elevator,Төмөр бетон арагт,7.0,2019,Энгельсийн гудамж,"47.900991, 106.892131",
147.0,ХУД,3,2,,,Шинэ сонголт,Төмөр бетон арагт,9.0,2019,Энгельсийн гудамж,"47.899484, 106.892799",
147.0,ХУД,4,307,17110.0,,Bizacci center,Төмөр бетон арагт,5.0,2020,Наадамчдын зам,"47.880173, 106.855396",4.743333333333333
148.0,ХУД,5,927/1,17110.0,,Titan Plus,Төмөр бетон арагт,7.0,2024,Наадамчдын зам,"47.869534, 106.823046",4.593333333333333
149.0,ХУД,5,927,17110.0,,Titan Center,Төмөр бетон арагт,2.0,2021,Наадамчдын зам,"47.869287, 106.821619",4.24
150.0,ХУД,11,14,17023.0,,Zaisan square,Төмөр бетон арагт,7.0,2013,Дүнжингаравын гудамж,"47.887286, 106.916147",8.370714285714286
151.0,ХУД,15,33/2,17011.0,,Regis place,Төмөр бетон арагт,20.0,2021,Чингисийн өргөн чөлөө,"47.900571, 106.910276",10.25764705882353
152.0,ХУД,15,6,17010.0,,Khan bank tower,Төмөр бетон арагт,24.0,2017,Чингисийн өргөн чөлөө,"47.903742, 106.912044",
153.0,ХУД,15,31/1,17011.0,,NM tower,Төмөр бетон арагт,21.0,2024,Махатма Гандигийн гудамж,"47.903643, 106.916525",
154.0,ХУД,15,31/2,17011.0,,NM tower,Төмөр бетон арагт,4.0,2024,Махатма Гандигийн гудамж,"47.903716, 106.917012",
155.0,ХУД,15,28,17010.0,,Galaxy tower,Төмөр бетон арагт,13.0,2015,Махатма Гандигийн гудамж,"47.904679, 106.919568",10.0
156.0,ХУД,15,109,17011.0,,Сeo office,Төмөр бетон арагт,10.0,2021,Махатма Гандигийн гудамж,"47.902897, 106.924428",6.005000000000001
156.0,ХУД,17,512Б,17012.0,,River plaza,Төмөр бетон арагт,2.0,2024,Стадион Оргил-3 /17012/,"47.892022, 106.924094",9.47
157.0,ХУД,17,512А,17012.0,,River plaza,Төмөр бетон арагт,23.0,2017,Стадион Оргил-3 /17012/,"47.892022, 106.924094",9.47
158.0,ХУД,18,61,17013.0,,Uniq center,Төмөр бетон арагт,5.0,2019, Монгол улсын гудамж,"47.898909, 106.931312",8.112857142857143
159.0,ХУД,18,101,17013.0,,Гэгээнтэн office center,Төмөр бетон арагт,12.0,2013,Зайсангийн гудамж,"47.898898, 106.909557",8.846666666666666
160.0,ХУД,18,202,17013.0,,Fides tower,Төмөр бетон арагт,16.0,2013,Зайсангийн гудамж,"47.897566, 106.908993",
161.0,ХУД,18,203,17013.0,,Гэгээнтэн center,Төмөр бетон арагт,4.0,2015,Зайсангийн гудамж,"47.897153, 106.908825",
162.0,ХУД,18,24/21,17013.0,,Нарантуул Оффис,Төмөр бетон арагт,9.0,2024,Богд Жавзандамбын гудамж,"47.896617, 106.909103",
163.0,ХУД,18,33/1,17013.0,,LS Plaza,Төмөр бетон арагт,12.0,2019,Богд Жавзандамбын гудамж,"47.896559, 106.911140",
164.0,ХУД,18,22,17013.0,,Monnis tower,Төмөр бетон арагт,9.0,2012,Их Монгол улсын гудамж,"47.897898, 106.923944",
165.0,ХУД,19,77/4,17042.0,,Sumber Tower,Төмөр бетон арагт,16.0,2023,Үйлдвэр 2-3 ,"47.898585, 106.896561",6.718333333333334
166.0,ХУД,19,77/3,17042.0,,Sumber Tower,Төмөр бетон арагт,16.0,2023,Үйлдвэр 2-3 ,"47.898589, 106.896936",6.718333333333334
167.0,ХУД,20,6,17042.0,,Khan-Uul tower,Төмөр бетон арагт,16.0,2014,Б.Шаравын гудамж,"47.898565, 106.895877",
168.0,ХУД,20,31,17042.0,,White gate center,Төмөр бетон арагт,8.0,2019,Чингисийн өргөн чөлөө,"47.898748, 106.895010",
169.0,ХУД,20,81,17042.0,,Polaris center,Төмөр бетон арагт,9.0,2016,Чингисийн өргөн чөлөө,"47.895106, 106.883872",
170.0,ХУД,20,75/1,17042.0,,Misheel city ,Төмөр бетон арагт,22.0,2024,Чингисийн өргөн чөлөө,"47.894416, 106.886189",6.875576923076922
171.0,ХУД,20,75/2,17042.0,,Misheel city ,Төмөр бетон арагт,22.0,2024,Чингисийн өргөн чөлөө,"47.893977, 106.886607",6.875576923076922
172.0,ХУД,20,75/3,17042.0,,Misheel city ,Төмөр бетон арагт,22.0,2024,Чингисийн өргөн чөлөө,"47.893380, 106.887144",6.875576923076922
173.0,ХУД,24,504/1,17110.0,,Ханбогд оффис,Төмөр бетон арагт,2.0,2022,Наадамчдын зам,47.87907 106.853156,
174.0,ХУД,24,504/2,17110.0,,Ханбогд оффис,Төмөр бетон арагт,10.0,2022,Наадамчдын зам,47.878946 106.852788,
175.0,БГД,2,24,16050.0,,Rokmon building,Төмөр бетон арагт,10.0,,Сөүлийн гудамж,"47.913659, 106.894101",6.85
176.0,БГД,2,36/4,16050.0,,GEM PALACE,Төмөр бетон арагт,17.0,2019,Үндсэн хуулийн гудамж,"47.914651, 106.893931",9.445
177.0,БГД,2,46,,,Grand office,Төмөр бетон арагт,15.0,2009,Энх тайвaны өргөн чөлөө,"47.914189, 106.890699",5.850416666666667
178.0,БГД,13,14,16091.0,,Daco center,Төмөр бетон арагт,16.0,2016,Өнөр хорооллын гудамж,"47.923702, 106.875468",
179.0,БГД,17,50,,,World mongolia,Төмөр бетон арагт,16.0,2020,Жалханз Хутагт Дамдинбазарын гудамж,"47.918923, 106.887119",4.3
180.0,БГД,19,55А,16067.0,,Оймон оффис,Төмөр бетон арагт,10.0,2016,Жалханз Хутагт Дамдинбазарын гудамж,"47.918568, 106.879687",
181.0,БГД,26,13,16020.0,,Монгол төв,Төмөр бетон арагт,13.0,2020,Дунд голын гудамж,"47.906168, 106.907976",
182.0,БГД,26,19/1,16020.0,,TST Building,Төмөр бетон арагт,7.0,2017,Дунд голын гудамж,"47.905649, 106.906673",7.0
183.0,БГД,26,19/3,16020.0,,TST Building,Төмөр бетон арагт,7.0,2023,Дунд голын гудамж,"47.905826, 106.906658",7.0
184.0,БГД,26,19/2,16020.0,,Агро центр,Төмөр бетон арагт,10.0,2019,Дунд голын гудамж,"47.905502, 106.906144",
185.0,БГД,26,52,16020.0,,Autohub,Төмөр бетон арагт,5.0,2019,Туул гол гудамж,"47.905400, 106.905634",
186.0,БГД,27,92,,,UB platinium,Төмөр бетон арагт,7.0,2012,Энх тайвaны өргөн чөлөө,"47.913740, 106.873147",
