url,title,location,date,ad_id,price_total,ad_text,size,progress_cons,clean_coords,area,price,p_int,a_int,price_m2,p2_int,mylocation
https://www.unegui.mn/adv/9310063_baianmongolyn-urd-100mkv-offis-khudaldana/?p=2,Баянмонголын урд оффис 100мк талбай,"УБ — Баянзүрх, Баянмонгол хороолол",Нийтэлсэн: Өчигдөр 14:44,9310063,5.9 сая ₮,"БЗД, 26-р хороонд Баянмонгол хорооллын урд зам дагуу цоо шинэхэн 100м.кв оффисын талбай борлуулалтын үнээс хямд худалдана.
▪️“Paradise plaza”
▪️16/9 давхарт
▪️Хойшоо харсан цонхтой
▪️Дуу тусгаарлалтын хана хаалгатай
▪️Таазны өндөр 4.1м
▪️Гэрчилгээ бэлэн
▪️м.кв үнэ: 5,900,000
▪️Нийт үнэ: 590,000.000₮",100 м² м²,Ашиглалтад орсон,47.904759 106.930979,100.0,5.9,"(-inf, 15.0]","(50.0, 100.0]",5.9,"(5.0, 10.0]",Баянмонгол
https://www.unegui.mn/adv/9408402_dolgoon-nuurt-pro-one-office-d-49-5m2-talbai-khudaldana/?p=2,Дөлгөөн нуурт pro one office-д 49.5м2 талбай,"УБ — Сүхбаатар, Дөлгөөн нуур",Нийтэлсэн: Өчигдөр 14:32,9408402,247.5 сая ₮,"Дөлгөөн нуурт Pro one office-д
49.5м2 талбай худалдана
10 давхарт баруун харсан дотроо 00той",49 м²,Ашиглалтад орсон,47.929336 106.913516,49.0,247.5,"(200.0, 300.0]","(20.0, 50.0]",5.051020408163265,"(5.0, 10.0]",Дөлгөөн нуур
https://www.unegui.mn/adv/9209838_regis-place-d-100-22-mkv-offis/?p=2,Худ regis place-д оффис 100.22мкв талбай,"УБ — Хан-Уул, 120 мянгат",Нийтэлсэн: Өчигдөр 14:29,9209838,1.2 Тэрбум ₮,"REGIS PLACE-д 100.22 мкв оффис худалдана.
Хаяг: Хотын А бүс 120мянгат тэмээтэй хөшөөний зүүн хойно.
Давуу талууд:
✅Баруун, урагш харсан маш гоё харууцтай 10+ давхарт
✅Газар доорхи гурван давхар авто зогсоолтой
✅Цахилгаан машин цэнэглэгч
✅Нисдэг тэрэг буух талбайтай
✅Бельги улсад үйлдвэрлэгдсэн хэт ягаан туяанаас хамгаалсан 𝟑 давхар шилэн фасад
Худалдаа үйлчилгээ болон оффис , орон сууц хосолсон, Олон улсын стандартын дагуу баригдсан 𝐥𝐮𝐱𝐮𝐫𝐲 зэрэглэлийн барилга юм.
🌱 𝟏-𝟓давхарт худалдаа үйлчилгээ
🌱 𝟔-𝟏𝟏давхарт оффис
🌱𝟏𝟐-𝟐𝟎давхарт орон сууц байрлана",100 м² м²,Ашиглалтад орсон,47.901399 106.910038,100.0,1200.0,"(1000.0, 5000.0]","(50.0, 100.0]",12.0,"(10.0, 15.0]",120 мянгат
https://www.unegui.mn/adv/9438033_khud-n-urd-89-6m2-offis-talbai/?p=2,Худ-н урд 89.6м2 оффис талбай,"УБ — Хан-Уул, Хан-Уул, Хороо 2",Нийтэлсэн: Өчигдөр 14:28,9438033,448 сая ₮,"ХУД-н урд оффис талбай худалдана
Талбайн хэмжээ: 89,6
Үнэ: m2 5,000,000
Төлбөрийн нөхцөл: Бэлэн болон банкны зээлээр, батрер сонсоно
Хаяг: ХУД 2-р хороо
Орчны мэдээлэл: ХУД дүүргийн урд",89 м²,Ашиглалтад орсон,47.893878 106.887541,89.0,448.0,"(300.0, 500.0]","(50.0, 100.0]",5.033707865168539,"(5.0, 10.0]",19-р хороолол
https://www.unegui.mn/adv/9395979_bzd-1-r-khoroo-seoul-business-center-t-53-56mkv-2-oroo-bukhii-offis-khudaldana/?p=2,Бзд 1-р хороо seoul business center-т 53.56мкв 2 өрөө бүхий оффис,"УБ — Баянзүрх, Баянзүрх, Хороо 1",Нийтэлсэн: Өчигдөр 14:18,9395979,"330 сая ₮
үнэ тохирно","📍БЗД 1-р хороо #SEOULBUSINESSCENTER-т 53.56мкв 2 өрөө бүхий оффис үйлчилгээний талбай худалдана.
✔️8/5давхарт
✔️Урагшаа харсан 2 цонхтой
✔️Хотын төвд
✔️Гоо сайхан орох боломжтой",53 м²,Ашиглалтад орсон,47.925816 106.935662,53.0,330.0,"(300.0, 500.0]","(50.0, 100.0]",6.226415094339623,"(5.0, 10.0]",СЭЗИС
https://www.unegui.mn/adv/9225377_grand-plaza-offis-talbai-zarna/?p=2,Grand plaza оффис талбай 242м2,"УБ — Баянгол, Баруун 4 зам",Нийтэлсэн: Өчигдөр 13:39,9225377,"5.5 сая ₮
үнэ тохирно","Grand plaza оффис талбай зарна.
242m2 16/9 давхарт
✅Гэрчилгээ бэлэн
Урагшаа, баруун болон зүүн харагдацтай
Банкаар авах боломжтой",242 м²,Ашиглалтад орсон,47.916677 106.897889,242.0,5.5,"(-inf, 15.0]","(100.0, 400.0]",5.5,"(5.0, 10.0]",Баруун 4 зам
https://www.unegui.mn/adv/9219718_akoya-residence-tower-dupleks-5-oroo/?p=2,Akoya residence & tower дуплекс 5 өрөө граштай,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Нийтэлсэн: Өчигдөр 13:36,9219718,1.22 Тэрбум ₮,"𝐀𝐊𝐎𝐘𝐀 𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐂𝐄-д товерт 185м2 дүплекс худалдана.
✔️𝟏𝟔/4 давхарт
✔️Дулаан зогсоолтой
✔️Урагшаа баруун харууцтай
✔️4 а/ц өрөөтэй
✔️ Таазнаас шал хүртэл шилэн фасад, VOID цонхтой;
✔️Сургууль, цэцэрлэг, спорт комплекс, худалдаа үйлчилгээ бүгд нэг дор шийдэж өгсөн;
✔️4.5 м өндөр таазтай
📍Байршил: ХУД, 18-р хороо Emart-ын баруун урд талд, Хобби сургуулийн чанх ард байрлалд, Хотын А зэрэглэлийн бүсэд;
Үнэ: 1,300,000,000₮ граштай
Агент: Khandaa",185 м²,Ашиглалтад орсон,47.8975463250697 106.922096063062,185.0,1220.0,"(1000.0, 5000.0]","(100.0, 400.0]",6.594594594594595,"(5.0, 10.0]",Корпорейт
https://www.unegui.mn/adv/9231821_offiss-uilchilgeenii-talbai-khudaldana/?p=3,Оффис үйлчилгээний талбай 67мкв,"УБ — Баянзүрх, Сансар",Нийтэлсэн: Өчигдөр 13:16,9231821,220 сая ₮,"📍ОФФИСС ҮЙЛЧИЛГЭЭНИЙ ТАЛБАЙ ХУДАЛДАНА
▶️БЗД 2- р хороо КТМС зүүн талд Цагдаа хотхоны урд Зам дагуу
▶️67 м2
▶️гаднаа авто машины зогсоолтой
▶️5/3 давхар дотроо ариун цэврийн өрөөтэй
▶️2017 онд баригдсан ообьектын 3 давхарт ▶️гэрчилгээ бэлэн
📍Үнэ: 220 сая",67 м²,Ашиглалтад орсон,47.922859 106.940931,67.0,220.0,"(200.0, 300.0]","(50.0, 100.0]",3.283582089552239,"(2.0, 5.0]",Сансар
https://www.unegui.mn/adv/9147928_bzd-26-r-khoroo-saruul-khotkhond-zam-daguu-bairlaltai-53-5m2-uilchilchilgeenii-talbai/?p=3,"Бзд 26-р хороо саруул хотхонд зам дагуу байрлалтай 53,5м2 үйлчилчилгээний талбай","УБ — Баянзүрх, Баянзүрх, Хороо 26",Нийтэлсэн: Өчигдөр 13:15,9147928,6.2 сая ₮,"📌 бзд, 26-р хороо саруул хотхонд зам дагуу байрлалтай 53,5м2 үйлчилчилгээний талбай зарна.
💰6.2сая",53 м²,Ашиглалтад орсон,47.903294 106.948778,53.0,6.2,"(-inf, 15.0]","(50.0, 100.0]",6.2,"(5.0, 10.0]",Цэцэрлэгт хүрээлэн
https://www.unegui.mn/adv/9231812_bgd-grand-plaza-130-99m2-offis-uilchilgeenii-talbai-khudaldana/?p=3,Бгд grand plaza 130.99м2 оффис үйлчилгээний талбай,"УБ — Баянгол, Баруун 4 зам",Нийтэлсэн: Өчигдөр 13:15,9231812,6.4 сая ₮,"БГД Grand plaza 130.99м2 оффис үйлчилгээний талбай худалдана.
📌Баруун 4 зам
📌Том цэлгэр цонхнуудтай
📌Үнэ цэнэтэй зөв байршилд
📌13давхарт
📌Үнэ:6.4сая |",130 м²,Ашиглалтад орсон,47.916677 106.897889,130.0,6.4,"(-inf, 15.0]","(100.0, 400.0]",6.4,"(5.0, 10.0]",Баруун 4 зам
https://www.unegui.mn/adv/9244271_tasgan-tauer-offis-talbai-khudaldana/?p=3,Чд Тасган тауэр оффис талбай 33.44мкв,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: Өчигдөр 13:14,9244271,183.92 сая ₮,"Тасган тауэр оффис талбай худалдана 33.44мк
Үнэ: 1мкв 5.500.000
Нийт үнэ: 183,920,000
Төлбөрийн нөхцөл: Бэлэн төлөлтөөр зарах боломжтой
Талбай: 33.44мкв
Төв замруу харсан
Барилгын явц: Ашиглалтад удахгүй орно.
✅400 оффис үйлчилгээ цогцолсон Бизнес Тауэр
✅А бүсэд Хотын төвөөс 2 мкв зайд байрлалтай
✅Төв зам дагуу
✅100% бүрэн цутгамал хийцлэлтэй
✅Бүх оффис дотроо ариун цэврийн өрөө гал тогооны хэсэг шийдэж өгсөн.
✅2.8 м өндөр таазтай
✅Зөвхөн бэлнээр хямд
✅Тун удахгүй комиссг орно.",33 м²,Ашиглалтад орсон,47.92397 106.902687,33.0,183.92,"(100.0, 200.0]","(20.0, 50.0]",5.573333333333333,"(5.0, 10.0]",5-р сургууль
https://www.unegui.mn/adv/9136338_shine-offiss-zarna/?p=3,Сбд 54.5мкв оффис,"УБ — Сүхбаатар, Бага тойрог",Нийтэлсэн: Өчигдөр 13:10,9136338,463 сая ₮,2025 оны 1 сард ашиглалтад орсон Засгийн газрын ордоны хойно ЖЕМ Кастл 2 т байршилтай шинэ тавилгатай оффиссыг /амьдарч болно/ зарна,54 м²,Ашиглалтад орсон,47.922769 106.917593,54.0,463.0,"(300.0, 500.0]","(50.0, 100.0]",8.574074074074074,"(5.0, 10.0]",Бага тойрог
https://www.unegui.mn/adv/9286855_misheel-biznes-tauert-106-51m2-offisyn-talbai-khudaldana/?p=3,Мишээл бизнес тауэрт оффисын 106.53м.кв талбай,"УБ — Хан-Уул, Мишээл",Нийтэлсэн: Өчигдөр 12:59,9286855,"6.5 сая ₮
үнэ тохирно","🌇Улаанбаатар хотын хамгийн том төсөл болох Мишээл Сити төслийн 𝐌𝐈𝐒𝐇𝐄𝐄𝐋 𝐁𝐔𝐒𝐈𝐍𝐄𝐒𝐒 𝐓𝐎𝐖𝐄𝐑-т оффисын талбайнууд зах зээлийн үнээс хямд худалдана.
2 сонголттой
Зүүн урагшаа
Баруун хойшоо харсан дээгүүр давхарт маш гоё оффис худалдана.үнэ ярилцана аа зүгээр ирээд үзээрэй",106 м²,Ашиглалтад орсон,47.891921 106.887409,106.0,6.5,"(-inf, 15.0]","(100.0, 400.0]",6.5,"(5.0, 10.0]",Мишээл
https://www.unegui.mn/adv/8769554_sbd-baga-toiruu-khunsnii-4-ab-center-t-75mkv-offis-zarna/?p=3,"Худ, маршал river garden-ы хажууд time square хотхонд 1 давхарын 68м.кв талбай","УБ — Хан-Уул, River Garden",Нийтэлсэн: Өчигдөр 12:39,8769554,"683 сая ₮
үнэ тохирно","ХУД, Time square хотхонд 1 давхарын 68м.кв оффис үйлчилгээний зориулалттай талбай зарна
Үнэ: 683,700,000 төгрөг
- 1 ариун цэврийн өрөө, гал тогооны хэсэгтэй
- Баруун харсан гаднаасаа шууд ордог хаалгатай
- Оффис, болон бүх төрлийн үйлчилгээгээр ашиглах боломжтой
- Гаднаа зогсоол сайтай",68 м²,Ашиглалтад орсон,47.889271 106.93287,68.0,683.0,"(500.0, 1000.0]","(50.0, 100.0]",10.044117647058824,"(10.0, 15.0]",Маршал
